301100	CONSTRUCCION DE BUQUES, EMBARCACIONES MENORES Y ESTRUCTURAS FLOTANTES
301200	CONSTRUCCION DE EMBARCACIONES DE RECREO Y DE DEPORTE
302000	FABRICACION DE LOCOMOTORAS Y MATERIAL RODANTE
303000	FABRICACION DE AERONAVES, NAVES ESPACIALES Y MAQUINARIA CONEXA
304000	FABRICACION DE VEHICULOS MILITARES DE COMBATE
309100	FABRICACION DE MOTOCICLETAS
309200	FABRICACION DE BICICLETAS Y DE SILLAS DE RUEDAS
309900	FABRICACION DE OTROS TIPOS DE EQUIPO DE TRANSPORTE N.C.P.
310001	FABRICACION DE MUEBLES PRINCIPALMENTE DE MADERA
310009	FABRICACION DE COLCHONES, FABRICACION DE OTROS MUEBLES N.C.P.
321100	FABRICACION DE JOYAS Y ARTICULOS CONEXOS
321200	FABRICACION DE BISUTERIA Y ARTICULOS CONEXOS
322000	FABRICACION DE INSTRUMENTOS MUSICALES
323000	FABRICACION DE ARTICULOS DE DEPORTE
324000	FABRICACION DE JUEGOS Y JUGUETES
325001	ACTIVIDADES DE LABORATORIOS DENTALES
325009	FABRICACION DE INSTRUMENTOS Y MATERIALES MEDICOS, OFTALMOLOGICOS Y ODONTOLOGICOS N.C.P.
329000	OTRAS INDUSTRIAS MANUFACTURERAS N.C.P.
331100	REPARACION DE PRODUCTOS ELABORADOS DE METAL
331201	REPARACION DE MAQUINARIA AGROPECUARIA Y FORESTAL
331202	REPARACION DE MAQUINARIA METALURGICA, PARA LA MINERIA, EXTRACCION DE PETROLEO Y PARA LA CONSTRUCCION
331203	REPARACION DE MAQUINARIA PARA LA ELABORACION DE ALIMENTOS, BEBIDAS Y TABACO
331204	REPARACION DE MAQUINARIA PARA PRODUCIR TEXTILES, PRENDAS DE VESTIR, ARTICULOS DE CUERO Y CALZADO
331209	REPARACION DE OTRO TIPO DE MAQUINARIA Y EQUIPOS INDUSTRIALES N.C.P.
331301	REPARACION DE EQUIPO DE MEDICION, PRUEBA, NAVEGACION Y CONTROL
331309	REPARACION DE OTROS EQUIPOS ELECTRONICOS Y OPTICOS N.C.P.
331400	REPARACION DE EQUIPO ELECTRICO (EXCEPTO REPARACION DE EQUIPO Y ENSERES DOMESTICOS)
331501	REPARACION DE BUQUES, EMBARCACIONES MENORES Y ESTRUCTURAS FLOTANTES
331502	REPARACION DE AERONAVES Y NAVES ESPACIALES
331509	REPARACION DE OTROS EQUIPOS DE TRANSPORTE N.C.P., EXCEPTO VEHICULOS AUTOMOTORES
331900	REPARACION DE OTROS TIPOS DE EQUIPO
332000	INSTALACION DE MAQUINARIA Y EQUIPOS INDUSTRIALES
351011	GENERACION DE ENERGIA ELECTRICA EN CENTRALES HIDROELECTRICAS
351012	GENERACION DE ENERGIA ELECTRICA EN CENTRALES TERMOELECTRICAS
351019	GENERACION DE ENERGIA ELECTRICA EN OTRAS CENTRALES N.C.P.
351020	TRANSMISION DE ENERGIA ELECTRICA
351030	DISTRIBUCION DE ENERGIA ELECTRICA
352010	REGASIFICACION DE GAS NATURAL LICUADO (GNL)
352020	FABRICACION DE GAS, DISTRIBUCION DE COMBUSTIBLES GASEOSOS POR TUBERIA, EXCEPTO REGASIFICACION DE GNL
353001	SUMINISTRO DE VAPOR Y DE AIRE ACONDICIONADO
353002	ELABORACION DE HIELO (EXCEPTO FABRICACION DE HIELO SECO)
360000	CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA
370000	EVACUACION Y TRATAMIENTO DE AGUAS SERVIDAS
381100	RECOGIDA DE DESECHOS NO PELIGROSOS
381200	RECOGIDA DE DESECHOS PELIGROSOS
382100	TRATAMIENTO Y ELIMINACION DE DESECHOS NO PELIGROSOS
382200	TRATAMIENTO Y ELIMINACION DE DESECHOS PELIGROSOS
383001	RECUPERACION Y RECICLAMIENTO DE DESPERDICIOS Y DESECHOS METALICOS
383002	RECUPERACION Y RECICLAMIENTO DE PAPEL
383003	RECUPERACION Y RECICLAMIENTO DE VIDRIO
383009	RECUPERACION Y RECICLAMIENTO DE OTROS DESPERDICIOS Y DESECHOS N.C.P.
390000	ACTIVIDADES DE DESCONTAMINACION Y OTROS SERVICIOS DE GESTION DE DESECHOS
410010	CONSTRUCCION DE EDIFICIOS PARA USO RESIDENCIAL
410020	CONSTRUCCION DE EDIFICIOS PARA USO NO RESIDENCIAL
421000	CONSTRUCCION DE CARRETERAS Y LINEAS DE FERROCARRIL
422000	CONSTRUCCION DE PROYECTOS DE SERVICIO PUBLICO
429000	CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL
431100	DEMOLICION
431200	PREPARACION DEL TERRENO
432100	INSTALACIONES ELECTRICAS
432200	INSTALACIONES DE GASFITERIA, CALEFACCION Y AIRE ACONDICIONADO
432900	OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCION
433000	TERMINACION Y ACABADO DE EDIFICIOS
439000	OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCION
451001	VENTA AL POR MAYOR DE VEHICULOS AUTOMOTORES
451002	VENTA AL POR MENOR DE VEHICULOS AUTOMOTORES NUEVOS O USADOS (INCLUYE COMPRAVENTA)
452001	SERVICIO DE LAVADO DE VEHICULOS AUTOMOTORES
452002	MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
453000	VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES
454001	VENTA DE MOTOCICLETAS
454002	VENTA DE PARTES, PIEZAS Y ACCESORIOS DE MOTOCICLETAS
454003	MANTENIMIENTO Y REPARACION DE MOTOCICLETAS
461001	CORRETAJE AL POR MAYOR DE PRODUCTOS AGRICOLAS
461002	CORRETAJE AL POR MAYOR DE GANADO
461009	OTROS TIPOS DE CORRETAJES O REMATES AL POR MAYOR N.C.P.
462010	VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRICOLAS
462020	VENTA AL POR MAYOR DE ANIMALES VIVOS
462090	VENTA AL POR MAYOR DE OTRAS MATERIAS PRIMAS AGROPECUARIAS N.C.P.
463011	VENTA AL POR MAYOR DE FRUTAS Y VERDURAS
463012	VENTA AL POR MAYOR DE CARNE Y PRODUCTOS CARNICOS
463013	VENTA AL POR MAYOR DE PRODUCTOS DEL MAR (PESCADOS, MARISCOS Y ALGAS)
463014	VENTA AL POR MAYOR DE PRODUCTOS DE CONFITERIA
463019	VENTA AL POR MAYOR DE HUEVOS, LACTEOS, ABARROTES Y DE OTROS ALIMENTOS N.C.P.
463020	VENTA AL POR MAYOR DE BEBIDAS ALCOHOLICAS Y NO ALCOHOLICAS
463030	VENTA AL POR MAYOR DE TABACO
464100	VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO
464901	VENTA AL POR MAYOR DE MUEBLES, EXCEPTO MUEBLES DE OFICINA
464902	VENTA AL POR MAYOR DE ARTICULOS ELECTRICOS Y ELECTRONICOS PARA EL HOGAR
464903	VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, DE TOCADOR Y COSMETICOS
464904	VENTA AL POR MAYOR DE ARTICULOS DE PAPELERIA Y ESCRITORIO
464905	VENTA AL POR MAYOR DE LIBROS
464906	VENTA AL POR MAYOR DE DIARIOS Y REVISTAS
464907	VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES
464908	VENTA AL POR MAYOR DE INSTRUMENTOS CIENTIFICOS Y QUIRURGICOS
464909	VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS N.C.P.
465100	VENTA AL POR MAYOR DE COMPUTADORES, EQUIPO PERIFERICO Y PROGRAMAS INFORMATICOS
465200	VENTA AL POR MAYOR DE EQUIPO, PARTES Y PIEZAS ELECTRONICOS Y DE TELECOMUNICACIONES
465300	VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES AGROPECUARIOS
465901	VENTA AL POR MAYOR DE MAQUINARIA METALURGICA, PARA LA MINERIA, EXTRACCION DE PETROLEO Y CONSTRUCCION
465902	VENTA AL POR MAYOR DE MAQUINARIA PARA LA ELABORACION DE ALIMENTOS, BEBIDAS Y TABACO
465903	VENTA AL POR MAYOR DE MAQUINARIA PARA LA INDUSTRIA TEXTIL, DEL CUERO Y DEL CALZADO
465904	VENTA AL POR MAYOR DE MAQUINARIA Y EQUIPO DE OFICINA, VENTA AL POR MAYOR DE MUEBLES DE OFICINA
465905	VENTA AL POR MAYOR DE EQUIPO DE TRANSPORTE(EXCEPTO VEHICULOS AUTOMOTORES, MOTOCICLETAS Y BICICLETAS)
465909	VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO N.C.P.
466100	VENTA AL POR MAYOR DE COMBUSTIBLES SOLIDOS, LIQUIDOS Y GASEOSOS Y PRODUCTOS CONEXOS
466200	VENTA AL POR MAYOR DE METALES Y MINERALES METALIFEROS
